City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,portalegre,0,PT,1518301538,83,39.29,-7.43,37.39,5.06
88,tasiilaq,76,GL,1518299400,72,65.61,-37.64,17.6,4.7
89,siocon,80,PH,1518301539,100,11.03,124.04,78.07,7.18
90,pulandian,0,CN,1518298200,48,39.4,121.96,17.6,2.24
91,thompson,75,CA,1518300000,71,55.74,-97.86,5.0,3.36
92,riyadh,0,SA,1518300000,18,24.63,46.72,60.8,7.74
93,provideniya,88,RU,1518301540,98,64.42,-173.23,29.07,10.76
94,gorodovikovsk,88,RU,1518301541,90,46.08,41.93,35.05,14.23
95,birjand,40,IR,1518300000,29,32.86,59.22,35.6,6.93
96,pierre,1,US,1518299580,71,44.37,-100.35,6.8,9.17
97,san patricio,44,PY,1518301542,74,-26.98,-56.83,87.61,1.92
98,jalu,36,LY,1518301542,33,29.03,21.55,59.17,7.63
99,rio gallegos,40,AR,1518296400,28,-51.62,-69.22,57.2,13.87
100,bandarbeyla,92,SO,1518301543,100,9.49,50.81,74.02,10.54
101,vostok,36,RU,1518301543,78,46.45,135.83,-5.45,2.93
102,bintulu,75,MY,1518296400,100,3.17,113.03,73.4,3.36
103,luderitz,48,NA,1518300000,52,-26.65,15.16,68.0,17.22
104,udachnyy,56,RU,1518301544,73,66.42,112.4,-3.38,3.94
105,tiksi,64,RU,1518301545,33,71.64,128.87,-22.55,2.93
106,cabedelo,20,BR,1518300000,78,-6.97,-34.84,78.8,6.93
107,wanxian,88,CN,1518301545,95,30.8,108.39,33.61,2.37
108,faanui,92,PF,1518301546,100,-16.48,-151.75,80.37,14.79
109,new norfolk,75,AU,1518300000,44,-42.78,147.06,59.0,18.34
110,touros,68,BR,1518301547,95,-5.2,-35.46,77.49,5.17
111,alacranes,20,CU,1518299400,74,22.77,-81.57,78.8,17.22
112,san jose,68,PH,1518301548,97,15.79,120.99,70.47,1.92
113,los llanos de aridane,36,ES,1518298200,77,28.66,-17.92,62.6,18.34
114,kruisfontein,88,ZA,1518301549,81,-34.0,24.73,66.37,8.19
